County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
FOREST,,6,5,9,,6,6,6,28,18,26,20,18,17,12,10,,,,,13,39,135,346,473,444,385,301,344,394,374,408,306,215,163,80,21,5,,
DAUPHIN,679,1045,1058,1118,1051,1030,918,918,1071,1113,1041,934,798,533,336,287,143,54,16,,2743,6337,6316,7434,8041,8459,8507,8610,10409,11446,13072,12531,10283,6190,4104,2588,1265,356,49,7
CENTRE,300,595,1356,509,384,337,282,259,277,285,289,249,210,162,116,84,58,19,,,1574,3920,9153,5804,5345,5104,4953,4704,5372,5930,6243,6196,5208,3587,2496,1593,743,239,32,
CARBON,130,230,215,148,180,176,183,198,221,302,259,268,199,110,73,40,28,8,,,451,1182,1289,1144,1379,1508,1682,2007,2518,2976,3456,3392,2820,2016,1231,751,384,120,17,
JUNIATA,19,37,29,18,19,27,31,30,37,46,58,46,41,30,33,17,12,7,,,68,259,308,218,279,313,374,424,599,719,872,962,863,618,517,301,145,53,,
COLUMBIA,107,184,166,117,130,125,110,123,128,177,151,155,125,87,62,50,38,26,,,518,1221,1427,1368,1571,1710,1703,1982,2353,2762,3258,3335,2824,1985,1321,867,466,118,22,
BEAVER,341,466,432,371,410,485,520,508,502,574,678,493,357,183,138,99,75,23,,,988,2610,2702,2870,3507,3995,4192,4098,5144,6536,7865,7936,6705,4431,3304,2006,1058,263,23,
SUSQUEHANNA,30,83,78,55,63,43,69,51,82,105,118,106,98,64,47,26,14,11,,,197,572,524,389,496,564,669,699,997,1315,1617,1694,1445,1044,681,409,194,54,9,
CLARION,46,70,74,65,63,62,62,77,87,106,105,115,98,63,46,43,22,10,5,,130,344,566,473,533,551,654,672,949,1213,1615,1647,1363,990,801,466,211,53,10,
SULLIVAN,,11,12,16,27,7,19,16,16,42,47,63,62,60,49,27,9,,,,15,48,75,59,75,68,91,107,180,258,372,368,342,230,173,103,39,9,,
