County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
CLARION,36,61,90,95,99,84,81,92,92,118,127,115,104,69,52,41,23,10,5,,177,423,636,529,575,612,718,707,1015,1280,1684,1703,1401,1025,806,495,219,55,10,
BERKS,1256,1800,1740,1571,1626,1483,1436,1495,1511,1608,1449,1533,1516,986,725,614,415,140,33,5,4878,11000,10604,9753,11097,12433,13045,13789,16640,19098,19997,18003,15084,10003,6645,4314,2229,579,83,11
WAYNE,108,172,204,172,169,161,149,162,171,194,204,219,259,199,137,84,39,22,,,529,1147,1384,1017,1094,1205,1260,1389,1829,2325,2700,2693,2346,1571,1013,535,250,54,5,
PERRY,73,134,146,92,140,138,108,127,169,191,206,201,260,147,116,61,29,9,,,280,604,671,636,753,874,1019,1105,1406,1774,2102,2238,1849,1208,739,440,178,35,,
LACKAWANNA,586,907,793,799,804,759,741,637,764,806,751,668,643,409,358,266,170,82,17,,3182,6540,6696,6422,7413,7928,7748,7768,9602,10604,11702,10855,9348,6360,4388,2738,1444,475,56,5
SCHUYLKILL,293,430,436,431,449,422,410,363,431,513,519,518,417,226,185,162,129,65,6,,1186,2817,2930,2985,3519,3871,4236,4704,5642,6487,7269,7522,6375,4224,2767,1693,921,249,29,
CLEARFIELD,87,166,166,140,173,155,159,137,207,221,225,187,166,130,94,48,44,11,,,364,1055,1355,1370,1691,1767,1836,2119,2580,3106,3563,3624,3083,2154,1635,948,425,130,17,
PIKE,148,322,279,191,173,176,193,200,268,272,318,305,349,288,201,100,45,16,,,553,1383,1184,870,906,930,1129,1284,1885,2496,2821,2622,2304,1518,1000,490,217,49,5,
CARBON,104,218,250,206,232,225,202,203,247,281,277,258,185,113,79,46,29,8,,,611,1410,1413,1233,1506,1613,1764,2115,2625,3118,3547,3505,2897,2090,1259,756,397,127,17,
BEAVER,347,542,478,445,487,518,566,557,576,622,732,518,357,195,149,107,72,27,,,1274,2973,2986,3118,3784,4283,4457,4332,5420,6801,8110,8165,6858,4540,3375,2057,1102,276,24,
