County Name,Partially Covered Age Group 5-9,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 5-9,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
ADAMS,84,192,231,321,266,284,234,239,236,243,300,304,310,302,225,149,95,55,14,,,,947,2233,2338,1846,2161,2382,2493,2662,3410,4237,4680,5069,4622,3211,2131,1239,600,162,29,
ALLEGHENY,4015,3993,4235,6587,7081,7392,6444,5239,4405,4886,5237,6170,7282,6514,4293,3141,2155,1445,502,93,24,7,17720,35346,45212,53691,59715,56854,50180,44567,51375,58198,68044,64781,51617,33409,23637,15106,8920,2734,359,59
ARMSTRONG,42,90,147,178,180,187,179,204,200,222,239,241,251,284,207,126,80,52,11,,,,540,1346,1435,1214,1387,1613,1777,2029,2595,3278,4214,4103,3446,2233,1662,992,516,132,18,
BEAVER,143,282,380,456,493,566,624,657,627,618,741,906,906,737,440,309,212,153,39,5,,,1557,3437,3331,3537,4219,4755,4962,4729,5914,7229,8620,8521,7096,4777,3468,2138,1144,293,27,
BEDFORD,32,27,56,94,85,77,74,84,80,92,110,134,114,99,100,73,60,16,,,,,166,446,583,493,568,654,734,875,1166,1419,1935,1984,1705,1340,977,589,277,59,6,
BERKS,589,1130,1472,1712,1614,1633,1477,1394,1380,1394,1521,1420,1522,1458,1140,774,623,402,137,33,7,,5771,12388,11993,11284,12624,13612,14297,14777,17749,20026,20834,18881,15845,10745,7030,4608,2412,671,95,13
BLAIR,109,193,279,338,294,328,328,339,304,394,412,455,487,534,339,283,191,114,47,6,,,1010,2431,2586,2270,2634,2881,3133,3210,4018,4522,5620,5889,5155,3431,2505,1441,823,285,39,
BRADFORD,53,63,82,132,105,105,95,107,112,113,159,191,274,272,208,134,82,49,10,,,,414,945,915,919,959,960,1015,1133,1588,1928,2349,2362,2023,1629,1162,619,276,86,9,
BUCKS,1175,1942,2636,2676,2425,2772,2999,2973,2742,3385,4161,4759,5486,4853,3200,1948,1173,684,221,36,11,6,11584,22490,19489,17117,19088,21767,22526,22667,28385,32304,34476,30809,24854,17382,11379,7370,3925,1205,147,19
BUTLER,496,427,403,609,589,677,622,625,552,613,672,791,739,711,499,388,310,172,52,6,,,2542,5457,5423,4881,5713,6872,6873,6795,8466,9379,10643,10205,8185,5437,3858,2363,1297,389,54,5
CAMBRIA,198,219,256,384,372,375,366,348,360,399,435,526,555,479,381,247,198,144,59,9,,,1032,2575,2775,2576,2785,2918,3357,3700,4534,5371,6936,7663,6483,4298,2843,1858,1059,326,47,
CAMERON,,5,8,9,17,20,15,13,9,13,14,15,13,20,9,9,,,,,,,29,72,74,67,57,102,102,101,124,228,273,298,276,172,134,74,43,11,,
CARBON,23,70,177,236,182,197,196,207,188,236,263,287,274,241,178,107,72,47,15,,,,693,1603,1565,1424,1677,1796,1923,2263,2812,3265,3694,3672,2984,2195,1333,791,412,140,21,
CENTRE,1363,761,620,1856,730,552,480,398,361,397,387,358,408,359,238,191,132,86,26,6,,,1901,4408,10430,6598,6008,5592,5374,5097,5796,6284,6602,6488,5518,3861,2651,1732,802,254,38,
CHESTER,2113,2963,3200,2742,2657,3060,3082,3012,2674,3022,3066,3382,3785,3291,2261,1460,1109,617,216,33,,6,11274,22744,18155,17558,20196,22396,23288,23320,26559,27941,27931,24803,20137,14644,9500,5507,3019,896,130,9
CLARION,41,35,46,94,108,105,89,91,84,102,114,128,148,137,109,89,56,36,14,6,,,230,478,681,605,645,674,815,773,1080,1365,1754,1760,1455,1069,839,518,228,59,11,
CLEARFIELD,66,78,110,155,163,173,193,160,172,217,202,246,264,224,163,123,87,71,25,,,,442,1207,1512,1506,1889,1892,2003,2284,2748,3293,3701,3749,3209,2277,1701,992,448,132,22,
CLINTON,33,38,43,116,121,93,90,79,94,97,118,135,150,135,94,89,59,38,14,,,,211,614,887,718,716,761,863,950,1230,1371,1677,1666,1397,963,725,448,237,77,11,
COLUMBIA,105,117,124,198,135,149,152,137,102,153,159,146,162,151,116,84,68,51,28,,,,722,1594,1746,1705,1895,1972,1959,2197,2646,3062,3513,3517,2960,2162,1384,921,493,130,27,
CRAWFORD,36,96,167,237,233,227,195,209,212,204,256,283,370,355,239,161,101,52,26,,,,607,1581,1983,1484,1731,1890,1988,2082,2622,3098,3881,3905,3460,2515,1687,975,544,170,26,
CUMBERLAND,703,789,1376,1313,1357,1463,1532,1420,1296,1492,1460,1564,1495,1449,1263,827,559,248,80,10,,,3693,7069,7272,7579,9145,9983,9981,9298,10529,11200,12534,12431,11219,7435,4886,3067,1681,535,72,9
DAUPHIN,674,832,929,1270,1500,1401,1362,1166,1085,1184,1164,1242,1282,1079,697,460,332,166,54,16,,,3894,7974,7767,8948,9651,9926,9850,9888,11739,12647,14116,13426,10975,6898,4375,2815,1412,409,59,6
