County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
TIOGA,27,76,72,65,83,82,82,85,102,91,159,169,187,119,104,59,36,11,,,302,709,633,547,628,654,769,810,1060,1307,1727,1851,1665,1220,979,498,183,50,12,
CLEARFIELD,42,105,147,149,162,177,159,156,204,191,239,253,204,154,107,73,55,19,,,444,1202,1499,1494,1863,1874,1975,2271,2727,3275,3681,3743,3195,2259,1695,989,442,133,20,
LYCOMING,91,215,308,301,321,293,287,270,292,353,341,375,318,272,193,154,114,35,10,,845,2116,2419,2402,2833,3082,2999,3030,3855,4518,5603,5678,4867,3296,2210,1499,747,243,39,
CENTRE,154,626,1782,696,507,443,374,332,378,350,333,384,340,219,179,121,85,25,6,,1915,4378,10372,6551,5978,5567,5344,5070,5771,6257,6570,6475,5508,3830,2646,1726,799,252,37,
FAYETTE,135,287,366,361,375,354,412,382,460,499,536,633,612,390,268,173,115,44,10,,980,2377,2615,2649,2969,3171,3514,3809,4830,5575,6900,7246,6180,4037,2754,1626,886,272,30,
BEDFORD,12,56,94,80,76,72,78,83,97,108,137,113,88,94,65,58,16,,,,167,443,575,489,562,645,728,868,1144,1409,1918,1982,1706,1325,968,586,272,59,6,
LEHIGH,719,1347,1762,1688,1695,1525,1431,1164,1212,1253,1230,1179,945,626,391,352,276,108,17,,6492,13445,13059,13465,15216,15981,16459,16252,18085,20086,21247,19156,15948,11045,7357,4856,2655,821,123,5
WESTMORELAND,398,842,1048,1040,1041,1065,1021,914,1294,1331,1555,1756,1659,1050,790,541,407,146,19,5,3611,8034,8225,7703,8497,9467,10052,10426,13448,15966,19448,19405,16747,11215,7711,4919,2703,779,99,8
LEBANON,153,316,405,389,394,393,394,399,339,396,349,357,358,285,238,174,106,38,6,,1580,3398,3161,2891,3481,3759,4084,4230,4784,5490,6118,6291,5542,3828,2717,1778,950,321,61,
ARMSTRONG,67,151,171,176,175,176,198,196,219,254,230,241,272,189,120,66,46,11,,,541,1335,1406,1187,1375,1584,1757,2004,2578,3250,4187,4080,3437,2208,1653,984,509,130,18,
FRANKLIN,158,301,411,408,370,361,366,389,390,431,380,324,302,288,193,152,86,47,6,,1322,2838,2603,2346,2944,3214,3371,3673,4250,4767,5513,5990,5799,4447,3009,1952,1020,303,41,
WARREN,38,98,105,116,125,133,124,115,149,213,223,281,251,198,92,94,49,18,,,291,678,616,599,685,811,778,818,1153,1503,1850,1922,1538,1095,763,436,218,70,5,
MCKEAN,32,173,158,142,129,111,148,173,198,236,280,311,253,168,163,90,60,16,,,280,731,740,671,730,817,876,1003,1230,1403,1783,1740,1345,918,647,387,233,65,8,
DELAWARE,1311,2502,2903,2572,2945,2918,2799,2437,2638,2968,3192,3601,2991,1892,1196,942,578,202,39,,11124,20863,17756,17226,20296,22292,21712,20615,23610,26481,28356,26035,20131,14052,9123,6218,3469,1156,160,8
ERIE,384,734,995,915,986,910,813,732,818,949,1080,1397,1347,793,522,394,252,88,8,,3443,7479,8357,8038,8497,9047,8881,8953,10910,12122,14052,13382,10504,6848,4633,2720,1483,495,79,8
LANCASTER,691,1228,1677,1578,1660,1466,1259,1217,1305,1434,1447,1459,1301,1010,800,670,484,188,42,,6479,14621,16075,15292,17283,17475,17281,17146,19719,22922,25370,24652,21544,15689,11318,7600,4255,1403,226,11
COLUMBIA,70,127,193,134,145,142,125,101,140,147,134,154,138,120,79,61,48,26,,,713,1584,1730,1686,1879,1951,1948,2178,2625,3058,3506,3496,2961,2133,1385,919,484,128,26,
BEAVER,220,383,428,471,546,594,617,581,574,709,857,818,680,389,295,190,144,39,,,1533,3413,3311,3498,4164,4716,4901,4693,5878,7195,8554,8489,7066,4746,3453,2132,1136,290,27,
HUNTINGDON,27,62,121,92,116,114,100,94,112,116,105,121,140,100,56,50,21,12,,,201,622,962,936,1201,1181,1304,1325,1547,1655,1899,2022,1803,1302,891,518,255,71,13,
