County Name,Partially Covered Age Group 5-9,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 5-9,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
ADAMS,428,365,245,325,286,314,286,275,264,283,334,341,342,329,248,168,106,59,15,,,,957,2262,2403,1898,2218,2427,2531,2704,3463,4282,4711,5111,4648,3253,2140,1250,605,165,29,
ALLEGHENY,14465,8614,4399,7385,8106,8628,7619,6146,5090,5473,5861,6942,7876,6959,4572,3322,2290,1510,553,97,23,21,17763,35636,45657,54376,60389,57535,50792,45037,51890,58664,68549,65368,52002,33911,23922,15333,9107,2807,376,56
ARMSTRONG,227,203,167,202,185,186,192,218,205,227,258,280,284,295,211,139,79,54,10,,,,545,1348,1467,1257,1428,1659,1830,2067,2636,3339,4259,4140,3475,2280,1680,1008,528,133,18,
BEAVER,753,637,393,505,551,627,688,736,692,683,855,1014,1022,808,493,329,236,159,39,,,,1568,3481,3395,3609,4311,4863,5049,4809,6007,7310,8702,8620,7132,4828,3505,2160,1187,301,29,
BEDFORD,72,57,65,103,92,75,78,91,95,86,124,152,129,119,110,93,67,17,,,,,169,449,598,508,589,664,755,878,1190,1437,1953,1998,1717,1348,983,598,283,60,6,
BERKS,2342,2139,1504,1757,1700,1776,1627,1551,1477,1497,1671,1527,1639,1551,1215,840,648,403,130,35,7,,5812,12555,12231,11513,12839,13820,14488,14931,17901,20176,21024,19067,15960,10929,7118,4707,2466,703,102,14
BLAIR,498,378,302,376,353,390,393,394,361,428,472,508,529,595,377,325,219,120,48,5,,,1010,2443,2632,2321,2668,2917,3197,3264,4076,4575,5671,5917,5194,3471,2548,1463,832,294,40,
BRADFORD,148,113,90,149,126,138,124,123,137,142,207,240,334,339,245,170,101,53,12,,,,415,957,945,939,971,979,1031,1150,1609,1943,2376,2377,2044,1648,1173,623,284,86,9,
BUCKS,5476,3989,2725,2897,2725,3206,3550,3554,3280,4018,4958,5710,6113,5343,3525,2132,1272,741,214,38,12,19,11648,22666,19729,17361,19296,22043,22807,22835,28680,32625,34821,31131,25091,17649,11485,7493,3980,1252,153,19
BUTLER,1811,1017,409,680,640,752,703,701,590,692,748,886,781,765,536,399,302,160,48,9,,,2559,5512,5515,4977,5825,6967,6963,6907,8567,9509,10723,10282,8239,5484,3896,2399,1330,403,55,5
CAMBRIA,472,392,275,454,438,454,429,398,396,449,492,588,600,535,424,271,211,149,62,10,,11,1042,2615,2833,2628,2838,2979,3422,3780,4605,5436,6995,7722,6538,4347,2879,1874,1084,328,48,
CAMERON,,8,9,11,20,18,22,14,9,14,19,17,17,23,9,14,,,,,,,29,74,76,71,62,104,104,105,122,229,276,299,280,173,135,75,43,12,,
CARBON,246,215,169,259,211,212,225,217,211,241,285,326,305,276,198,113,83,52,17,,,,697,1621,1590,1436,1707,1814,1937,2297,2832,3301,3718,3705,2999,2222,1343,793,419,144,21,
CENTRE,1813,981,634,1986,881,692,551,472,407,441,436,437,459,388,273,220,149,104,30,9,,17,1919,4417,10579,6695,6101,5693,5440,5159,5900,6369,6650,6521,5551,3889,2679,1747,813,256,39,
CHESTER,8317,6042,3321,3023,2961,3534,3714,3680,3236,3510,3653,4049,4239,3629,2524,1594,1202,660,246,38,,35,11343,22967,18341,17767,20391,22619,23502,23463,26834,28195,28183,25034,20265,14822,9611,5612,3103,928,135,10
CLARION,77,50,51,98,119,113,104,80,87,116,127,142,170,149,120,100,61,30,12,7,,,229,483,695,622,669,686,840,791,1089,1395,1762,1768,1475,1081,842,527,240,64,11,
CLEARFIELD,173,140,117,178,195,195,230,203,212,247,259,275,306,265,186,144,107,77,25,,,,439,1212,1555,1560,1964,1949,2068,2331,2783,3334,3747,3769,3217,2299,1710,1002,449,136,22,
CLINTON,87,70,64,124,127,110,97,89,114,131,137,170,180,163,117,96,73,40,15,,,,213,615,909,736,729,777,879,950,1251,1391,1695,1671,1409,970,741,449,240,78,10,
COLUMBIA,331,244,130,225,157,176,176,153,110,179,178,166,181,164,125,91,73,53,27,,,,719,1612,1772,1725,1946,1993,1987,2232,2667,3089,3531,3551,2979,2188,1394,929,498,133,27,
CRAWFORD,273,228,235,349,287,287,244,247,243,255,304,348,416,389,266,184,114,59,27,6,,,607,1596,2027,1540,1771,1930,2010,2123,2652,3125,3901,3921,3479,2544,1694,986,544,179,26,
CUMBERLAND,2284,1579,1392,1409,1468,1632,1679,1578,1466,1605,1571,1741,1660,1632,1373,907,615,272,87,11,5,6,3740,7153,7370,7705,9282,10095,10109,9438,10686,11358,12695,12562,11330,7541,4957,3104,1712,544,73,9
DAUPHIN,1870,1479,972,1416,1686,1556,1558,1307,1215,1326,1311,1457,1431,1210,809,508,378,206,70,18,,,3918,8051,7907,9075,9825,10081,10002,10027,11883,12769,14234,13535,11050,7024,4425,2840,1431,414,59,6
DELAWARE,7998,4954,2607,3266,2927,3498,3718,3603,3071,3282,3785,4135,4537,3739,2364,1465,1107,678,228,42,,36,11231,21198,18107,17596,20713,22779,22086,20976,23956,26807,28727,26429,20379,14286,9260,6310,3531,1185,170,9
ELK,80,65,64,95,94,97,83,75,64,81,100,148,128,100,87,77,50,18,17,7,,,208,582,677,565,678,711,765,815,1281,1545,1805,1720,1482,968,765,504,256,85,12,
