County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
CARBON,117,221,263,209,234,228,204,202,257,290,278,265,187,115,76,44,30,8,,,592,1373,1384,1199,1476,1578,1754,2096,2593,3089,3537,3484,2879,2075,1250,756,393,127,17,
VENANGO,80,167,111,98,112,116,122,133,148,160,222,197,171,102,79,43,33,7,,,257,712,753,615,777,961,954,1121,1399,1810,2335,2404,1883,1226,830,478,245,73,12,
ELK,57,94,78,81,72,71,67,58,95,111,116,85,70,38,50,46,24,22,8,,151,471,582,470,603,623,677,750,1176,1469,1717,1632,1458,895,742,475,229,67,8,
ARMSTRONG,137,237,169,166,162,153,173,190,221,252,237,228,206,114,82,43,26,10,,,413,1088,1234,1034,1177,1429,1568,1797,2331,3093,3986,3902,3326,2082,1592,944,494,121,16,
PHILADELPHIA,1519,2519,2705,3255,3573,3003,2599,2198,2407,2407,2368,1776,1477,837,666,430,218,92,17,,4014,6922,7224,11619,12843,10943,9544,8448,9121,9685,9435,7533,5858,4196,2885,1824,993,315,48,30
SCHUYLKILL,306,453,431,437,445,420,424,374,445,514,530,521,427,231,188,161,128,63,6,,1137,2750,2875,2910,3461,3826,4191,4646,5595,6431,7226,7489,6340,4195,2757,1685,918,246,29,
TIOGA,60,104,71,69,84,74,81,86,109,99,132,104,127,89,73,55,26,,,,249,638,567,488,529,600,695,749,964,1206,1653,1782,1579,1151,922,459,169,47,11,
HUNTINGDON,42,74,112,82,100,69,89,87,104,134,123,108,109,84,40,52,18,11,,,177,527,809,791,1040,1036,1167,1202,1408,1530,1775,1935,1761,1225,873,487,247,65,13,
SUSQUEHANNA,55,91,69,76,81,65,70,53,81,104,129,110,105,68,53,28,17,11,,,230,631,578,414,540,585,707,727,1029,1356,1669,1720,1484,1059,685,416,202,55,10,
LEBANON,310,433,430,351,391,362,374,370,329,397,353,297,266,235,186,159,105,38,7,,1287,2982,2734,2509,3000,3343,3660,3851,4443,5161,5783,6088,5338,3647,2603,1671,910,284,59,
