County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
NORTHUMBERLAND,105,177,221,202,243,189,195,194,195,240,200,154,172,105,81,63,54,10,,,737,1725,1992,2032,2369,2670,2629,2845,3438,4150,4781,4811,4128,2853,2028,1264,636,180,23,
BERKS,992,1637,1750,1630,1715,1533,1468,1447,1476,1550,1423,1549,1492,1053,730,609,423,142,35,5,5487,11830,11327,10510,11867,13067,13722,14366,17248,19650,20457,18340,15415,10344,6803,4417,2289,612,82,13
DAUPHIN,607,1041,1238,1300,1202,1191,1066,1007,1104,1082,1067,1064,881,587,357,274,161,58,17,,3743,7621,7350,8538,9154,9481,9443,9503,11387,12346,13816,13151,10806,6618,4320,2738,1351,382,52,6
GREENE,43,69,90,85,80,81,93,99,105,117,124,163,141,89,41,28,22,10,,,157,443,544,648,817,793,891,916,1117,1277,1578,1761,1449,967,533,315,169,50,,
PERRY,48,109,131,121,153,120,123,135,167,194,191,181,249,152,115,58,31,9,,,324,681,737,674,819,942,1060,1157,1469,1830,2171,2290,1889,1231,764,442,186,35,,
MONTGOMERY,2249,3869,3878,3813,4246,4489,4118,3934,4302,4537,4789,5354,4555,3386,2254,1583,939,330,55,17,18110,32094,24119,25182,29878,32989,32482,30669,35167,37884,39400,35789,28669,20467,14064,9404,5611,1809,253,45
WESTMORELAND,489,948,1016,984,967,1010,949,863,1217,1270,1445,1531,1395,877,643,448,304,108,17,,3502,7854,7988,7423,8245,9223,9787,10184,13215,15770,19229,19164,16518,10954,7630,4860,2644,746,93,9
OUT-OF-STATE,3322,7241,10081,7866,8201,7889,7491,7187,8045,8715,9187,9931,9040,5932,3913,2261,1212,371,111,215,6729,14942,26302,21240,23390,23865,23982,23702,28166,31194,33836,32400,25628,16924,11230,6701,3465,932,128,144
FRANKLIN,207,358,409,358,348,338,352,364,382,423,360,311,278,258,172,132,74,44,5,,1229,2659,2448,2189,2758,3042,3171,3489,4031,4619,5361,5849,5735,4302,2962,1916,999,292,36,
LEHIGH,805,1479,1806,1711,1745,1613,1486,1283,1313,1355,1303,1178,913,534,337,321,252,92,14,,6377,13067,12556,12979,14692,15475,16035,15898,17751,19818,20953,18898,15751,10802,7297,4795,2605,799,114,
CRAWFORD,90,180,219,215,206,188,210,211,212,247,234,269,283,178,127,69,39,11,8,,591,1548,1892,1398,1645,1792,1908,2019,2545,3030,3801,3836,3393,2454,1646,939,536,159,21,
ADAMS,128,266,297,262,258,221,200,226,257,266,263,251,235,174,114,75,33,15,,,905,2128,2233,1718,2018,2244,2357,2581,3285,4071,4576,4952,4560,3105,2084,1202,577,149,26,
WAYNE,63,156,186,189,174,154,148,147,184,191,207,228,274,225,145,84,41,23,,,579,1202,1442,1087,1154,1259,1301,1471,1884,2367,2762,2768,2395,1614,1040,555,263,57,5,
BUTLER,232,474,571,489,601,534,532,473,524,586,644,553,504,336,231,170,100,44,,,2480,5310,5206,4658,5451,6641,6630,6584,8247,9160,10486,9990,8104,5292,3800,2314,1277,380,53,
CENTRE,177,634,1739,561,421,345,300,261,289,293,286,311,290,205,137,106,68,20,5,,1896,4337,10138,6391,5844,5480,5296,4969,5691,6215,6490,6421,5409,3755,2593,1696,783,249,34,
UNION,51,108,137,70,83,94,83,69,84,73,76,64,65,55,41,38,28,11,,,418,1063,1330,725,838,1069,1045,1146,1418,1583,1781,1805,1674,1231,905,590,316,99,7,
DELAWARE,1491,2696,2865,2414,2767,2667,2537,2226,2364,2524,2592,2708,2182,1383,982,748,443,172,31,,10877,20304,17131,16480,19470,21453,20993,20081,23066,25994,27960,25514,19723,13715,8910,6054,3328,1100,153,8
LEBANON,190,353,415,357,402,367,389,354,326,376,352,335,303,247,198,155,103,31,6,,1524,3269,3002,2767,3299,3581,3927,4114,4651,5380,6011,6216,5459,3752,2666,1732,941,308,61,
ARMSTRONG,85,202,160,150,165,162,182,199,206,224,224,232,195,121,94,45,31,10,,,519,1254,1345,1136,1299,1530,1681,1906,2485,3204,4105,4003,3406,2162,1625,971,507,127,16,
WASHINGTON,454,645,723,677,742,756,707,720,745,829,934,1121,924,570,377,238,149,46,14,,2405,5254,5082,4578,5485,6603,7020,7002,8556,10118,11748,11436,9785,6327,4351,2685,1450,442,46,
FULTON,5,32,24,26,31,20,27,21,31,25,35,29,18,15,10,5,,,,,29,91,98,108,122,123,170,186,273,320,429,481,453,340,263,123,60,17,,
TIOGA,59,108,75,78,79,81,81,83,100,93,139,132,153,107,87,58,28,5,,,278,675,607,523,593,633,743,786,1019,1277,1699,1821,1620,1183,945,476,176,49,11,
SCHUYLKILL,197,388,415,363,418,393,376,341,405,443,475,503,427,240,175,167,122,70,7,,1359,3078,3151,3237,3776,4098,4443,4895,5827,6693,7498,7690,6474,4331,2824,1730,950,256,31,
CAMBRIA,176,315,369,327,341,338,301,337,398,422,482,446,362,265,194,140,121,48,10,,957,2449,2606,2436,2626,2791,3198,3550,4350,5203,6805,7501,6356,4167,2778,1813,1004,304,41,5
