County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
SOMERSET,66,121,143,169,153,155,154,159,202,238,288,313,264,215,163,133,100,30,5,,391,935,1192,1189,1516,1648,1741,1834,2244,2601,3311,3591,3162,2050,1511,974,510,139,17,
BERKS,843,1487,1667,1597,1551,1405,1318,1334,1326,1413,1288,1439,1364,1041,744,598,404,148,35,5,5676,12179,11763,10977,12373,13436,14086,14599,17570,19873,20659,18640,15633,10555,6904,4511,2347,635,87,14
SCHUYLKILL,176,317,381,352,393,360,357,320,403,416,440,472,406,252,176,158,127,71,6,,1406,3182,3268,3341,3883,4198,4541,4979,5899,6771,7580,7771,6526,4419,2842,1771,966,266,31,
YORK,672,1221,1417,1372,1406,1375,1263,1180,1350,1235,1262,1120,1006,730,536,392,229,79,12,,5271,11658,10533,10164,11902,13196,13943,14390,17550,19912,21778,20946,18094,12345,8135,5054,2516,762,94,11
NORTHAMPTON,406,1002,1410,1018,1072,963,927,855,971,1073,1125,1136,1002,586,405,309,238,74,16,,4630,10308,10631,9519,10511,10910,11453,11846,14417,15856,17035,16155,13967,9843,6369,3978,2221,666,102,9
BEDFORD,14,54,91,73,70,66,80,84,102,104,130,107,93,90,58,55,15,,,,163,441,570,490,554,640,729,863,1124,1400,1910,1972,1698,1313,965,582,271,57,6,
ARMSTRONG,71,155,154,158,173,177,204,206,217,238,214,230,232,164,97,48,36,11,,,541,1323,1398,1184,1358,1567,1733,1971,2552,3246,4170,4065,3426,2199,1649,986,510,131,17,
FAYETTE,136,302,360,361,374,348,417,361,435,465,489,584,552,339,243,157,101,31,8,,976,2348,2585,2616,2926,3136,3481,3778,4811,5540,6885,7239,6166,4019,2736,1623,888,276,31,
CARBON,56,180,235,169,181,182,198,166,217,226,250,253,192,136,71,52,33,7,,,687,1580,1542,1404,1653,1765,1892,2249,2784,3246,3655,3617,2970,2166,1313,784,411,136,19,
ELK,25,50,74,75,72,67,56,51,68,82,126,90,83,56,58,35,17,14,7,,210,564,658,553,663,692,737,803,1272,1532,1758,1695,1472,950,758,496,251,83,11,
CLARION,27,46,80,99,101,83,75,77,95,108,113,133,122,83,65,44,26,9,5,,226,471,673,586,623,665,801,759,1062,1355,1734,1746,1444,1061,822,519,226,63,10,
LAWRENCE,80,202,260,221,220,247,257,257,302,275,331,448,385,318,221,162,108,24,6,,668,1696,1675,1537,1742,2029,2232,2246,3051,3472,4365,4306,3632,2368,1752,1102,572,178,34,
DELAWARE,1316,2489,2857,2492,2827,2769,2668,2295,2423,2721,2846,3191,2694,1633,1030,830,486,170,32,,11107,20752,17639,17098,20160,22138,21594,20532,23540,26427,28280,25902,20058,13988,9118,6187,3457,1152,163,8
WAYNE,67,126,173,193,171,159,152,135,165,190,223,263,305,257,175,93,50,22,,,577,1239,1468,1126,1186,1289,1332,1509,1929,2395,2794,2803,2435,1672,1059,574,267,62,6,
CENTRE,153,625,1734,642,471,395,345,296,347,322,308,350,304,211,162,119,83,24,6,,1918,4370,10319,6519,5940,5552,5327,5052,5741,6226,6546,6466,5471,3820,2622,1720,795,252,37,
FULTON,,20,23,26,27,18,16,21,21,29,26,14,18,14,11,5,,5,,,32,106,102,114,130,132,185,197,292,330,447,503,452,348,267,125,60,17,,
BLAIR,140,291,309,242,299,288,284,259,348,345,382,397,433,266,245,140,100,46,6,,992,2401,2529,2249,2584,2845,3090,3171,3963,4488,5599,5838,5101,3391,2459,1427,813,272,36,
LEHIGH,715,1348,1762,1638,1642,1463,1352,1124,1186,1235,1185,1069,859,559,347,316,254,96,16,,6477,13385,12960,13390,15122,15893,16400,16174,17986,20022,21159,19103,15913,10962,7360,4834,2642,816,120,5
CLINTON,16,52,101,110,97,79,72,85,91,99,108,125,107,77,77,49,30,15,,,208,607,873,698,694,752,839,940,1208,1362,1668,1652,1388,947,717,442,233,72,11,
WARREN,36,96,100,107,123,131,119,110,141,209,206,269,241,190,94,89,48,18,,,290,679,616,588,679,808,770,811,1145,1489,1846,1901,1524,1081,751,426,216,70,5,
ERIE,402,731,937,866,918,841,722,665,752,879,960,1253,1200,691,473,331,212,70,8,,3419,7455,8339,8005,8488,9008,8882,8941,10879,12110,14022,13370,10470,6831,4621,2721,1499,501,79,8
LEBANON,159,309,404,365,410,386,381,383,331,374,346,325,335,263,206,154,98,33,6,,1571,3367,3123,2861,3433,3708,4045,4193,4752,5458,6092,6269,5520,3806,2710,1769,952,318,61,
NORTHUMBERLAND,72,150,188,180,190,158,164,158,174,204,193,152,178,122,100,74,58,12,,,762,1792,2084,2120,2474,2759,2709,2939,3488,4235,4803,4834,4170,2886,2047,1282,646,187,23,
MERCER,120,275,252,259,227,252,243,266,307,318,386,503,394,337,218,171,101,32,14,,780,1963,2227,1969,2255,2508,2529,2802,3685,4517,5482,5496,4756,3426,2422,1482,895,287,42,
CAMERON,6,8,9,17,20,13,13,9,13,16,14,10,15,10,7,,,,,,28,70,73,62,60,101,101,100,123,223,267,296,277,165,133,75,44,10,,
BRADFORD,29,82,119,93,101,79,93,93,84,130,160,193,198,157,103,65,36,10,,,418,926,891,897,944,934,1005,1120,1564,1921,2327,2346,2011,1613,1142,614,272,85,9,
BEAVER,228,383,433,455,530,568,585,555,550,654,794,738,608,338,255,167,104,29,,,1528,3397,3285,3461,4128,4698,4864,4655,5848,7171,8512,8437,7050,4714,3450,2134,1154,291,28,
LUZERNE,482,962,1169,1153,1122,980,925,921,1017,1034,954,1007,845,639,414,333,213,81,13,,4251,9288,9293,8944,10203,10830,11278,11793,14230,15976,16794,15957,13813,9311,6188,3743,2138,625,82,8
JUNIATA,8,40,31,27,35,42,45,36,41,45,46,37,37,25,29,19,12,9,,,113,345,370,272,342,367,447,469,668,772,930,1034,910,663,531,342,146,63,5,
VENANGO,40,92,123,101,127,129,114,132,159,156,227,293,259,174,116,69,51,12,,,341,858,838,705,906,1048,1087,1206,1514,1943,2482,2511,1973,1328,861,504,260,81,12,
MIFFLIN,37,75,72,93,86,80,88,98,92,107,75,76,67,60,48,32,25,9,,,258,663,764,740,848,883,1016,1084,1453,1778,1992,2139,2001,1519,1129,713,314,111,13,
WESTMORELAND,414,832,985,993,974,992,963,874,1211,1222,1432,1564,1519,963,712,472,330,119,16,5,3603,8002,8204,7668,8454,9441,10013,10358,13449,15967,19448,19386,16732,11162,7704,4912,2704,777,100,8
SULLIVAN,,9,13,11,15,9,18,11,14,37,43,54,57,63,44,22,8,,,,27,64,83,80,95,96,112,119,201,278,399,387,361,254,187,112,38,12,,
ALLEGHENY,2292,4264,6096,6243,6303,5474,4469,3852,4260,4589,5292,6195,5678,3677,2687,1787,1217,430,76,26,17588,35033,44856,53166,59033,56318,49645,44184,50966,57875,67645,64178,51137,33061,23450,14984,8847,2693,347,61
PHILADELPHIA,1500,2535,2793,3896,4594,3557,2916,2302,2485,2500,2591,2550,2155,1263,865,552,312,128,24,7,5176,9048,10287,17774,20252,17333,14891,13140,14367,15565,15603,13116,10377,7546,4889,2887,1483,449,71,31
CRAWFORD,73,163,231,224,208,178,201,203,203,242,247,323,315,207,152,84,47,22,,,607,1574,1944,1451,1708,1862,1961,2080,2585,3080,3847,3894,3445,2492,1676,963,543,167,26,
MONTGOMERY,2027,3566,3769,3747,4230,4572,4200,3841,4332,4663,5016,5741,5074,3611,2465,1710,1023,347,64,18,18324,32709,24708,25933,30684,33698,33230,31219,35807,38507,40145,36594,29267,21036,14352,9631,5762,1885,262,45
PIKE,110,300,250,210,186,189,204,216,270,291,340,353,406,324,223,112,43,19,,,610,1516,1292,984,1003,1024,1231,1352,2009,2618,2924,2730,2387,1625,1046,522,236,54,6,
POTTER,17,56,39,27,38,20,34,32,43,44,77,91,93,73,53,18,9,5,,,76,181,182,152,191,202,236,257,356,483,609,631,623,405,277,155,80,23,7,
SNYDER,26,62,84,66,63,54,69,54,63,79,78,66,58,67,42,19,16,,,,251,711,759,595,702,744,805,927,1197,1411,1507,1619,1454,1098,725,426,208,70,7,
CUMBERLAND,410,1394,1270,1272,1402,1408,1294,1228,1372,1330,1412,1278,1233,1051,720,484,228,72,10,,3691,6951,7156,7418,8925,9822,9799,9156,10359,11062,12383,12272,11088,7258,4798,2996,1652,528,71,9
PERRY,39,90,133,115,145,126,115,122,166,184,190,185,232,147,103,61,37,8,,,332,708,760,710,874,976,1097,1200,1513,1863,2194,2297,1907,1241,776,445,188,38,,
TIOGA,29,75,67,65,81,85,83,80,93,90,154,157,183,117,101,60,36,11,,,305,702,631,542,620,649,762,806,1053,1300,1717,1850,1643,1204,966,490,182,49,12,
FRANKLIN,157,319,411,385,356,331,333,368,380,407,365,318,289,272,182,147,83,45,6,,1311,2794,2557,2317,2902,3174,3328,3623,4203,4732,5479,5949,5782,4406,2995,1944,1021,301,39,
BUCKS,1319,2604,2509,2187,2446,2535,2467,2311,2896,3475,3810,4490,4061,2671,1588,995,590,190,32,10,11520,22300,19304,16907,18870,21498,22292,22464,28177,32037,34188,30444,24601,17083,11248,7297,3867,1196,141,19
MONTOUR,23,44,44,58,61,41,39,36,43,60,65,43,40,24,25,23,21,,,,323,588,521,721,1008,880,766,710,809,1009,1148,1142,942,675,493,370,185,51,9,
UNION,44,100,140,64,89,83,62,68,70,61,79,69,73,60,49,46,35,11,5,,429,1089,1356,753,866,1107,1073,1161,1433,1605,1803,1812,1690,1244,908,606,312,101,7,
CLEARFIELD,42,109,141,140,151,173,146,148,211,177,217,225,187,145,103,65,54,17,,,446,1190,1488,1486,1849,1866,1967,2248,2717,3247,3676,3731,3182,2241,1697,981,439,132,19,
BUTLER,223,406,570,517,628,555,554,495,537,616,657,646,596,403,302,187,106,43,,,2516,5414,5343,4828,5603,6804,6790,6724,8383,9291,10610,10124,8134,5387,3851,2357,1305,387,54,5
SUSQUEHANNA,30,58,71,60,69,72,65,54,79,102,113,117,126,78,53,33,20,10,,,278,706,660,490,610,642,764,765,1094,1413,1744,1771,1538,1107,716,434,208,58,12,
ADAMS,117,231,296,259,266,231,239,210,232,277,276,275,255,203,125,78,43,16,,,934,2205,2306,1801,2092,2322,2427,2636,3364,4156,4629,5012,4606,3158,2111,1219,587,157,28,
