County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
BLAIR,265,403,326,255,266,285,276,270,377,382,403,332,371,210,185,109,74,43,,,747,1983,2206,2003,2312,2594,2856,2944,3641,4300,5374,5630,4930,3187,2376,1368,796,246,34,
ARMSTRONG,141,230,153,150,159,152,176,189,212,254,248,230,203,113,79,43,26,10,,,392,1044,1217,1025,1147,1412,1544,1763,2312,3060,3952,3890,3321,2054,1597,937,491,120,16,
ELK,58,85,76,76,67,70,68,61,96,107,124,83,70,38,50,45,24,22,8,,140,456,581,463,599,619,666,742,1165,1462,1708,1627,1450,894,741,472,228,66,8,
POTTER,28,59,30,25,34,28,34,22,41,48,77,67,69,45,43,17,7,5,,,54,151,155,123,164,163,209,215,317,434,567,587,585,378,247,142,76,23,7,
VENANGO,85,154,106,90,122,114,118,131,153,156,220,203,174,105,77,41,32,7,,,244,692,749,604,757,947,939,1103,1374,1793,2314,2378,1872,1217,827,478,245,73,12,
CUMBERLAND,801,1723,1307,1228,1424,1358,1298,1242,1333,1338,1379,1015,1016,909,630,407,216,62,10,,2939,6024,6457,6597,7930,8933,8907,8443,9533,10400,11732,11723,10588,6672,4494,2795,1537,487,62,9
LEBANON,309,446,420,348,383,361,372,373,347,404,367,311,278,237,183,160,104,38,7,,1249,2894,2693,2466,2941,3297,3605,3800,4386,5110,5723,6058,5308,3630,2582,1665,895,284,58,
LANCASTER,1290,1667,1683,1523,1591,1446,1321,1291,1457,1566,1460,1290,1070,879,706,620,439,190,39,,5250,12982,14395,13612,15399,15878,15786,15860,18315,21737,24149,23682,20743,14789,10804,7202,3971,1258,196,9
CLINTON,52,86,118,107,91,91,84,98,127,118,119,109,60,46,42,30,14,7,,,150,533,751,578,611,656,749,844,1083,1269,1570,1588,1339,899,660,425,220,70,8,
NORTHAMPTON,856,1447,1567,1147,1195,1132,1121,1023,1225,1309,1394,1239,1066,518,382,284,202,63,17,,3944,9195,9442,8385,9359,9883,10500,11090,13471,14948,16326,15551,13467,9447,6103,3871,2110,615,87,9
FOREST,,8,9,9,9,8,7,14,35,24,26,21,20,20,11,10,,,,,14,46,144,361,493,462,400,314,356,415,387,416,313,220,166,80,23,5,,
YORK,1207,1679,1315,1240,1352,1359,1255,1212,1436,1316,1347,945,823,622,474,345,238,73,11,,4191,9955,9171,8704,10389,11683,12442,13183,16100,18488,20639,20114,17457,11758,7732,4814,2350,707,81,9
SCHUYLKILL,347,454,430,416,400,392,408,387,449,520,539,515,437,242,188,161,124,62,6,,1055,2659,2827,2857,3428,3781,4131,4584,5524,6369,7185,7439,6324,4139,2751,1675,911,244,29,
SNYDER,59,95,82,63,56,64,83,62,102,123,102,88,66,72,42,21,16,,,,200,620,657,492,621,650,728,869,1101,1291,1429,1554,1410,1042,696,409,198,63,7,
CLEARFIELD,110,175,154,147,178,168,140,155,219,233,224,199,158,123,92,47,43,13,,,314,998,1306,1317,1635,1733,1790,2074,2515,3044,3521,3597,3069,2127,1622,940,417,129,15,
FAYETTE,259,408,358,295,315,295,345,369,417,422,431,392,353,232,152,95,71,26,7,,721,1911,2159,2154,2528,2806,3101,3390,4365,5166,6521,6913,5916,3770,2591,1542,850,250,25,
FULTON,,22,14,18,18,14,9,15,25,27,25,18,22,8,8,5,,,,,25,75,90,93,110,109,160,168,240,295,392,465,439,318,255,118,59,16,,
PIKE,155,316,261,175,164,174,178,199,265,273,327,302,348,282,203,100,47,15,,,512,1336,1155,838,875,906,1105,1247,1850,2437,2779,2575,2286,1488,987,485,213,45,5,
BEDFORD,44,91,105,96,78,92,97,122,97,127,157,127,95,70,64,54,13,,,,101,327,455,391,459,544,630,745,1033,1299,1780,1899,1634,1248,934,558,245,55,6,
MERCER,221,386,281,249,246,234,236,248,321,349,337,331,224,194,136,97,64,26,12,,563,1627,1925,1713,1983,2265,2290,2577,3432,4278,5250,5315,4587,3258,2340,1435,852,273,34,
WARREN,73,139,113,106,120,147,122,112,142,210,206,240,210,155,102,78,42,17,,,201,548,529,504,590,707,698,754,1056,1398,1753,1808,1486,1011,691,420,196,67,,
LEHIGH,1234,1775,1771,1692,1769,1606,1543,1375,1406,1482,1448,1207,932,525,332,317,264,92,13,,5368,11725,11421,11757,13396,14349,14921,14985,16868,18976,20203,18342,15327,10498,7095,4683,2510,737,107,
BERKS,1519,1994,1714,1562,1560,1483,1491,1524,1573,1631,1532,1568,1571,1010,735,620,415,138,33,6,4309,10395,10226,9365,10745,12105,12669,13493,16263,18790,19684,17778,14918,9881,6582,4250,2199,567,79,11
HUNTINGDON,54,82,101,71,95,73,93,90,108,124,122,105,111,83,43,50,18,11,,,156,506,787,779,1023,1015,1146,1182,1385,1522,1759,1930,1750,1216,866,484,246,65,13,
MONTOUR,59,49,54,46,48,43,32,42,53,57,67,45,34,22,16,16,16,,5,,271,525,422,644,917,827,712,655,744,943,1088,1115,903,643,476,355,172,49,8,
JEFFERSON,62,138,93,81,81,92,98,88,103,128,140,140,128,74,59,45,43,9,,,175,492,629,545,654,774,845,921,1171,1506,2049,2144,1817,1311,1008,620,321,98,15,
BRADFORD,86,149,117,104,98,92,108,100,127,141,151,142,116,112,80,44,28,8,,,291,746,742,701,800,791,880,1000,1411,1784,2148,2216,1944,1554,1089,591,266,76,7,
PHILADELPHIA,1581,2508,2634,3216,3531,2990,2591,2153,2393,2396,2366,1757,1450,818,658,429,216,90,16,,3729,6618,7080,11415,12596,10739,9384,8297,8983,9562,9346,7462,5797,4169,2868,1811,985,311,48,30
CAMERON,14,14,8,16,14,20,17,14,15,15,20,21,18,11,5,5,,,,,16,50,64,51,47,82,83,88,110,214,258,279,267,161,129,72,43,11,,
FRANKLIN,358,463,391,366,377,329,332,382,341,415,385,280,259,204,164,124,66,48,5,,899,2192,2137,1891,2372,2713,2838,3141,3716,4252,5049,5703,5548,4098,2863,1840,931,264,34,
WASHINGTON,589,799,724,659,727,781,670,663,755,860,928,1016,782,522,336,215,148,40,10,,1990,4689,4599,4161,4963,6122,6535,6618,8071,9678,11281,11030,9485,5983,4199,2580,1381,419,43,
OUT-OF-STATE,3799,7039,9142,7141,7398,7231,7008,6763,7618,8309,8537,8873,7908,5139,3438,2101,1113,344,101,217,5923,14547,25281,20437,22477,23010,23517,23324,27694,30685,33226,32062,25431,16746,11191,6618,3404,891,120,150
ALLEGHENY,3491,5197,6141,5741,5648,4997,4122,3802,4301,4592,4929,5272,4476,2651,2054,1406,963,309,52,23,15041,31677,41265,49324,54915,52600,46424,41735,48409,55374,65236,61699,49148,31367,22475,14369,8365,2486,310,76
WESTMORELAND,812,1249,1045,932,980,985,926,909,1271,1301,1466,1412,1209,738,568,368,283,93,19,5,2800,6965,7333,6751,7607,8613,9198,9687,12590,15138,18663,18665,16088,10548,7400,4719,2542,708,86,13
WYOMING,58,88,80,103,85,84,63,78,96,101,118,103,81,69,48,29,18,13,,,253,639,612,518,564,633,661,754,1005,1282,1454,1407,1290,910,535,269,104,25,,
CLARION,43,77,85,88,80,81,71,82,102,125,116,116,99,71,48,43,23,9,5,,160,387,620,512,565,594,701,692,992,1257,1667,1687,1390,1013,806,487,216,55,10,
LYCOMING,198,343,326,315,341,288,270,279,340,397,387,312,272,193,147,116,82,25,,,589,1716,2055,1973,2427,2674,2615,2703,3455,4197,5205,5439,4652,3083,2074,1391,693,217,33,
SULLIVAN,,8,12,16,28,9,25,15,20,39,52,60,61,63,46,23,9,,,,16,53,79,62,78,74,95,106,185,263,379,370,349,230,180,105,41,9,,
MONTGOMERY,3173,4600,3981,3747,4201,4439,4002,3868,4217,4339,4532,4556,3619,2595,1835,1384,862,325,47,16,16278,29622,22302,23219,27822,30998,30630,29110,33449,36389,38105,34638,27946,19762,13688,9133,5407,1674,234,46
LUZERNE,852,1365,1145,1088,1213,992,1056,977,1135,1128,977,944,744,506,372,274,210,77,14,,3261,7928,8184,7749,8909,9654,10272,10890,13242,15040,16093,15334,13379,8799,5949,3596,2050,568,73,7
ERIE,710,1032,1019,798,845,810,703,650,705,834,800,625,489,350,235,218,149,69,5,,2755,6507,7551,7255,7808,8273,8205,8421,10309,11601,13512,12782,10035,6470,4391,2594,1424,461,71,9
TIOGA,70,109,76,69,84,75,79,84,114,87,128,106,128,92,76,58,26,,,,233,629,551,477,511,591,686,738,947,1197,1640,1774,1576,1143,907,452,168,47,11,
CHESTER,2959,3993,2815,2556,2747,2708,2549,2353,2711,2700,2697,2546,2075,1326,959,667,399,157,30,5,9568,20406,16435,15860,18447,20812,21704,21977,25081,26528,26583,23601,19242,13755,9029,5220,2864,824,111,8
MONROE,491,780,780,580,566,526,520,568,684,759,694,587,444,247,149,106,73,20,,,1692,4346,4538,3652,3671,3885,4376,4975,6511,8166,8714,7794,6083,3983,2529,1420,636,162,20,
NORTHUMBERLAND,176,245,229,259,284,270,261,220,245,255,272,164,168,119,94,69,57,12,,,566,1486,1727,1722,2035,2341,2357,2620,3192,3911,4524,4694,4037,2724,1955,1215,607,169,20,
ADAMS,185,338,309,213,248,232,224,240,266,264,286,259,226,168,104,73,37,16,,,766,1882,2002,1502,1784,2026,2155,2422,3060,3861,4413,4773,4460,2965,1994,1167,540,146,22,
DELAWARE,2210,3154,2876,2262,2592,2391,2311,2115,2306,2466,2453,2044,1594,1046,796,649,402,154,29,,9384,18477,15772,15068,17787,19966,19754,19026,22047,24981,27055,24802,19267,13324,8702,5898,3231,1040,147,8
BUTLER,467,661,594,494,554,549,500,477,570,556,637,471,388,230,180,151,94,39,,,2069,4724,4753,4252,5089,6216,6271,6233,7809,8816,10203,9736,7914,5172,3682,2251,1246,356,51,
CRAWFORD,157,235,231,208,206,183,200,170,186,235,207,201,155,118,91,52,36,10,8,,459,1386,1725,1261,1477,1644,1776,1910,2387,2913,3652,3722,3305,2385,1611,918,513,156,17,
CAMBRIA,250,397,393,314,340,336,288,346,406,448,494,452,330,242,181,143,130,54,10,,735,2049,2275,2156,2342,2551,2908,3306,4040,4942,6587,7298,6147,4031,2710,1765,950,271,37,
JUNIATA,26,47,32,28,34,35,44,44,47,60,55,54,48,31,35,15,11,7,,,82,279,329,226,282,331,384,432,615,734,897,968,874,629,524,307,146,55,,
SUSQUEHANNA,62,88,69,75,81,62,68,59,85,110,128,108,106,76,53,27,17,11,,,221,620,563,404,529,582,695,719,1016,1336,1654,1713,1477,1052,685,410,201,55,10,
DAUPHIN,868,1200,1193,1266,1178,1188,1077,1005,1142,1158,1067,928,811,526,344,274,142,53,16,,3085,6788,6659,7748,8375,8750,8798,8925,10732,11788,13327,12763,10478,6312,4190,2637,1286,367,49,7
MIFFLIN,77,103,82,74,76,87,86,104,94,113,89,102,86,59,54,37,24,7,,,176,533,643,594,710,776,880,954,1306,1617,1905,2039,1948,1449,1083,674,302,100,10,
CENTRE,274,685,1715,603,417,367,293,296,291,312,278,251,224,163,114,93,59,20,,,1731,4044,9366,6013,5555,5252,5098,4811,5483,6010,6353,6257,5290,3624,2539,1618,752,244,33,
WAYNE,117,187,198,168,173,157,151,153,185,203,201,221,258,202,136,81,37,22,,,492,1097,1358,989,1047,1187,1224,1372,1790,2292,2672,2651,2330,1540,1005,526,246,53,,
BEAVER,424,542,446,440,476,533,577,577,575,643,731,528,360,193,151,108,75,26,,,1131,2805,2892,3013,3658,4148,4352,4209,5305,6680,8014,8073,6795,4483,3352,2042,1083,271,24,
BUCKS,2502,3694,2809,2287,2501,2514,2436,2384,2859,3186,3125,2973,2657,1696,1147,767,444,148,26,10,9484,19441,17192,14824,16758,19462,20437,20897,26379,30218,32462,28808,23391,16076,10667,6927,3638,1096,131,19
COLUMBIA,129,203,198,139,150,157,119,126,145,185,160,161,129,95,59,54,41,25,,,586,1320,1480,1405,1619,1758,1757,2031,2384,2824,3323,3370,2850,2018,1334,876,471,123,24,
LACKAWANNA,627,931,773,768,826,761,760,651,796,814,773,697,644,399,362,272,172,80,18,,2964,6285,6540,6244,7198,7746,7588,7646,9447,10482,11586,10758,9276,6319,4317,2705,1434,467,53,
LAWRENCE,200,342,286,270,244,263,273,292,313,320,325,327,254,198,128,114,61,17,,,422,1303,1428,1284,1493,1733,1944,1990,2760,3175,4182,4076,3474,2238,1682,1054,542,165,27,
GREENE,53,97,87,64,70,71,75,84,97,119,138,141,119,69,41,26,19,8,,,131,376,488,592,778,745,842,866,1065,1219,1525,1717,1420,931,520,308,160,47,,
CARBON,139,242,262,191,248,217,206,210,246,287,275,265,194,115,75,41,29,8,,,553,1310,1353,1185,1441,1566,1726,2079,2566,3063,3517,3461,2861,2069,1245,757,390,125,17,
PERRY,88,142,127,102,135,125,125,133,162,197,218,204,256,151,117,64,31,10,,,249,561,643,614,720,857,981,1078,1384,1742,2070,2205,1831,1198,732,436,173,34,,
MCKEAN,82,215,157,137,112,125,146,194,231,272,331,296,224,146,116,63,44,13,,,215,620,630,552,619,715,780,893,1125,1297,1648,1631,1212,839,593,370,200,61,6,
INDIANA,138,182,243,179,191,174,180,181,207,226,276,258,187,120,118,76,54,20,5,,349,1093,1651,1253,1292,1554,1598,1647,2158,2680,3455,3662,3180,2075,1586,845,392,101,19,
SOMERSET,108,145,158,137,164,155,156,175,206,251,307,306,268,204,161,127,82,23,,,268,768,1014,1037,1334,1507,1536,1674,2072,2406,3146,3399,3033,1902,1436,907,476,125,14,
UNION,88,144,123,72,76,89,81,77,89,98,80,65,70,62,48,42,37,11,,,346,950,1267,646,768,971,975,1067,1317,1497,1710,1758,1600,1181,871,569,300,94,6,
