County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
GREENE,35,66,58,32,46,52,62,64,75,101,116,133,110,69,36,24,18,9,,,101,295,453,518,675,665,782,810,1010,1169,1484,1691,1383,911,510,298,156,44,,
LEHIGH,867,1473,1473,1363,1367,1305,1237,1218,1272,1400,1305,1158,878,486,310,307,259,86,12,,4284,10100,10262,10789,12403,13385,14021,14137,15886,18065,19452,17718,14901,10202,6840,4545,2395,714,96,
SULLIVAN,,5,10,11,20,6,19,15,16,33,49,66,58,60,49,30,9,,,,14,45,74,57,76,66,86,106,177,256,364,363,339,227,167,101,40,8,,
ELK,26,63,64,64,57,63,53,47,78,93,123,69,69,36,44,45,26,22,8,,100,359,549,429,574,589,639,729,1123,1432,1673,1604,1419,890,731,450,221,67,5,
MCKEAN,116,249,127,128,106,120,133,174,208,261,335,280,211,143,112,67,42,13,,,100,472,573,518,559,690,742,864,1080,1257,1593,1580,1169,812,582,352,191,58,6,
ERIE,582,942,794,639,683,643,550,542,586,719,717,605,464,333,235,226,159,77,6,,2057,5633,6996,6795,7402,7829,7806,8044,9948,11233,13071,12470,9713,6304,4249,2470,1360,429,67,
PERRY,61,133,96,82,105,100,87,112,145,177,194,184,256,159,113,62,30,8,,,160,433,558,571,656,806,936,993,1302,1646,2021,2126,1802,1131,710,412,165,35,,
WESTMORELAND,479,965,767,678,650,683,677,709,981,1047,1213,1264,1085,671,536,346,271,90,16,5,2046,5736,6614,6247,7132,8073,8609,9150,11858,14297,17908,17961,15515,10086,7111,4528,2434,668,82,9
BEAVER,296,469,377,329,384,433,498,480,491,616,687,502,370,188,146,103,68,23,,,830,2335,2523,2719,3293,3829,3971,3917,4957,6287,7649,7746,6535,4358,3247,1962,1042,256,20,
NORTHUMBERLAND,95,205,165,128,146,119,142,143,184,202,244,186,184,125,116,77,72,13,,,401,1187,1552,1570,1896,2211,2211,2462,3021,3732,4300,4528,3924,2604,1862,1170,582,155,19,
BEDFORD,27,66,70,44,54,39,56,64,63,80,114,108,77,64,50,47,10,,,,67,258,400,371,423,514,611,712,988,1257,1738,1873,1587,1217,924,537,243,51,6,
MONROE,281,572,719,466,498,430,459,487,623,730,705,632,423,225,146,100,70,21,,,1298,3673,3921,3245,3269,3524,3992,4568,5972,7606,8186,7357,5855,3800,2421,1358,614,147,19,
LYCOMING,154,346,259,223,227,195,180,220,267,310,328,311,278,201,144,126,87,25,,,367,1302,1843,1828,2233,2510,2457,2573,3266,3988,4972,5257,4489,2955,1988,1334,659,213,30,
FAYETTE,159,304,240,189,188,192,234,249,308,328,332,350,313,205,131,88,66,22,5,,534,1607,1965,1935,2314,2624,2904,3219,4153,4959,6316,6749,5759,3688,2511,1516,828,235,24,
MONTGOMERY,2537,4133,3532,3133,3582,3870,3595,3532,3955,4253,4379,4343,3450,2393,1773,1331,854,296,49,16,13963,26343,20232,21704,26144,29324,29083,27858,32011,35013,36742,33596,27250,19087,13314,8915,5178,1607,211,44
UNION,48,113,124,58,57,61,60,62,74,92,90,122,135,110,89,81,47,16,,,278,855,1165,607,734,909,921,1015,1242,1433,1617,1659,1491,1104,793,522,280,79,6,
CLARION,42,56,66,55,68,57,58,57,71,99,103,117,104,63,47,40,21,9,5,,102,308,540,463,513,537,627,662,931,1190,1591,1630,1334,976,790,461,211,51,10,
SCHUYLKILL,208,375,316,261,279,277,305,291,369,417,473,478,433,239,180,157,125,60,6,,768,2199,2532,2569,3098,3492,3858,4340,5214,6094,6920,7206,6125,3988,2665,1625,878,230,26,
FULTON,,12,13,14,15,7,5,10,10,19,17,13,10,8,6,,,,,,21,64,80,90,100,106,157,169,226,281,379,443,431,314,249,112,58,16,,
COLUMBIA,85,152,157,106,109,101,101,99,117,159,139,143,103,86,60,57,39,25,,,460,1132,1375,1311,1536,1665,1666,1954,2299,2706,3197,3308,2809,1961,1309,852,443,117,21,
LANCASTER,786,1256,1420,1192,1173,1097,1021,1011,1147,1310,1290,1152,1029,827,695,612,435,169,38,,4388,11304,12974,12590,14406,14979,14857,15078,17421,20908,23304,23021,20166,14300,10416,6915,3807,1160,171,8
CAMBRIA,135,277,292,196,213,224,196,246,296,365,457,400,317,228,189,135,130,56,10,,537,1722,2030,2022,2201,2399,2757,3126,3852,4769,6412,7113,5997,3910,2634,1712,912,258,36,
CLINTON,37,78,97,73,62,67,71,89,98,110,113,101,60,46,42,31,13,6,,,98,444,690,532,571,609,686,786,1010,1207,1524,1525,1288,878,645,409,211,64,8,
BUCKS,2168,3377,2557,1950,2081,2230,2314,2198,2638,3051,3036,2848,2461,1540,1084,752,427,147,25,9,7422,16532,15398,13539,15487,18149,19111,19846,25063,28994,31159,27971,22780,15596,10327,6720,3520,1034,125,19
BUTLER,339,511,427,326,401,377,358,335,394,464,520,432,325,201,166,136,89,38,,,1572,4047,4345,4018,4882,5972,5977,6003,7497,8523,9954,9524,7759,5074,3573,2188,1223,345,49,
CHESTER,2454,3539,2487,2255,2401,2470,2351,2241,2596,2576,2655,2566,2032,1292,930,643,395,154,28,,7673,18121,15086,14858,17461,19870,20749,21109,24100,25616,25690,22959,18799,13403,8736,5077,2756,789,104,8
CARBON,52,186,208,138,164,167,167,179,215,282,275,268,203,109,72,39,27,8,,,426,1083,1207,1102,1323,1465,1640,1936,2478,2895,3408,3321,2766,1973,1211,744,382,114,17,
CUMBERLAND,616,1632,1141,1044,1180,1200,1102,1124,1202,1195,1268,978,983,890,613,386,210,65,7,,2192,5036,5786,6049,7320,8392,8287,7948,8967,9865,11233,11323,10236,6358,4272,2708,1456,457,62,8
CENTRE,214,551,1280,448,328,297,249,225,260,258,258,227,193,151,110,85,58,16,,,1514,3838,8961,5638,5239,4987,4820,4647,5260,5858,6188,6145,5140,3534,2456,1564,734,233,31,
SNYDER,36,100,69,49,47,55,56,52,76,103,87,98,102,93,63,30,20,,,,152,512,572,459,578,617,680,830,1059,1218,1387,1505,1339,992,664,382,189,58,7,
ADAMS,139,261,229,155,151,157,159,175,179,213,232,210,196,138,91,67,36,17,,,570,1586,1771,1327,1625,1888,1976,2262,2847,3628,4222,4638,4333,2857,1904,1111,514,133,22,
WASHINGTON,375,600,590,460,507,550,508,536,607,707,840,953,755,500,339,201,140,38,9,,1639,4072,4170,3900,4697,5882,6247,6369,7771,9336,10975,10825,9238,5855,4075,2507,1336,397,43,
CRAWFORD,92,191,182,138,126,113,150,126,129,181,180,164,142,111,81,42,37,11,8,,358,1228,1585,1179,1405,1572,1678,1835,2299,2805,3564,3608,3247,2345,1566,892,506,148,16,
LACKAWANNA,464,775,654,607,606,651,594,554,655,718,730,685,574,374,343,264,166,75,17,,2396,5520,6050,5846,6783,7330,7175,7377,9070,10171,11243,10441,9081,6153,4185,2619,1399,446,48,
SUSQUEHANNA,19,72,61,45,48,56,52,36,67,91,107,101,98,65,46,24,14,10,,,190,543,493,377,480,535,662,693,972,1287,1599,1674,1428,1030,668,406,192,51,9,
MONTOUR,46,44,44,25,35,42,31,37,34,46,48,40,24,17,17,13,13,,5,,226,464,387,633,894,772,679,626,723,912,1071,1092,885,624,468,344,168,48,8,
WYOMING,37,60,70,68,71,71,53,78,71,92,105,89,77,79,44,29,17,10,,,211,560,542,492,524,591,606,711,953,1214,1399,1360,1257,885,501,262,99,24,,
WARREN,46,90,93,83,96,120,104,106,133,205,172,225,206,155,95,78,44,16,,,142,468,479,481,553,675,645,718,1000,1366,1695,1754,1429,988,669,404,189,62,,
LAWRENCE,81,182,183,156,125,134,153,173,201,223,249,296,233,183,133,104,53,16,5,,299,1042,1255,1148,1345,1596,1799,1844,2564,3003,3993,3899,3370,2132,1637,1029,523,158,25,
OUT-OF-STATE,2931,5774,7781,6092,6403,6278,6108,6054,6929,7619,7963,8414,7452,4792,3214,1994,1076,330,95,211,4799,12500,23126,19085,21094,21729,22231,22224,26413,29499,32070,31194,24760,16208,10820,6403,3263,854,113,119
BLAIR,152,293,249,191,187,201,211,183,294,315,327,309,314,184,182,105,79,41,,,577,1692,1975,1849,2156,2444,2682,2812,3417,4115,5216,5494,4823,3104,2307,1334,774,232,32,
POTTER,29,59,32,19,23,24,25,17,32,41,70,66,75,37,45,16,8,5,,,33,111,134,116,154,150,203,199,304,421,534,561,558,360,239,132,70,22,6,
VENANGO,46,117,101,66,82,91,95,91,115,133,202,171,157,100,76,45,31,7,,,171,566,694,548,710,873,887,1041,1332,1699,2259,2311,1851,1170,811,467,231,70,12,
DAUPHIN,740,1175,1048,1076,1000,960,896,914,1003,1051,1054,941,801,522,336,283,140,57,16,,2239,5646,5925,7073,7670,8120,8142,8262,10042,11162,12754,12256,10112,6051,4037,2540,1227,349,48,7
HUNTINGDON,28,50,73,44,73,50,48,64,67,101,99,94,108,73,40,45,17,11,,,115,433,695,676,870,911,1017,1093,1297,1447,1691,1877,1691,1183,843,465,241,58,11,
JEFFERSON,28,85,63,59,61,70,55,67,83,100,122,123,112,72,59,41,40,8,,,131,407,572,512,607,735,799,892,1128,1439,1989,2089,1769,1281,988,616,311,91,15,
WAYNE,83,148,237,147,140,131,131,142,149,188,178,214,255,202,143,73,36,22,,,372,951,1195,900,979,1108,1144,1298,1726,2186,2566,2571,2223,1471,964,500,230,47,,
CLEARFIELD,42,129,106,97,105,116,111,118,185,202,189,186,157,115,89,43,37,11,,,231,791,1200,1211,1514,1612,1662,1948,2382,2886,3384,3515,2969,2071,1574,915,400,124,11,
ARMSTRONG,87,157,116,115,102,103,111,123,157,186,225,232,171,98,78,38,23,11,,,292,878,1094,948,1086,1357,1470,1697,2217,2938,3808,3746,3254,2015,1550,916,474,112,16,
BERKS,1024,1738,1582,1314,1343,1301,1359,1429,1517,1583,1589,1542,1599,983,726,620,405,127,33,6,3047,8578,8934,8347,9757,11146,11609,12510,15078,17700,18575,16997,14385,9528,6296,4098,2091,522,72,10
PHILADELPHIA,1028,2029,2263,2821,3078,2669,2304,1977,2208,2262,2257,1642,1394,786,650,406,212,92,11,,2412,4959,6181,10341,11288,9642,8457,7521,8238,8810,8743,6964,5424,3952,2722,1727,930,300,41,30
DELAWARE,1494,2702,2449,1851,2135,2052,2046,1909,2150,2289,2391,2099,1568,998,815,651,396,155,29,,7912,16200,14310,13930,16462,18674,18627,18088,20961,23992,26129,23921,18668,12911,8429,5726,3101,992,136,8
CAMERON,,12,13,15,13,16,18,7,12,10,14,11,15,11,,5,,,,,8,32,51,44,44,76,77,86,103,210,250,285,262,157,129,70,41,10,,
FOREST,,6,6,9,6,6,6,5,28,15,20,19,17,20,12,10,,,,,10,37,123,305,418,403,366,281,329,376,368,402,305,209,162,77,21,5,,
MERCER,138,297,219,174,153,155,168,204,219,274,280,287,191,170,125,95,62,21,12,,380,1304,1736,1542,1845,2142,2142,2456,3297,4101,5132,5179,4510,3202,2260,1409,839,258,34,
