County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
BRADFORD,57,141,91,64,68,62,88,85,103,112,137,119,100,104,77,44,31,7,,,236,630,698,668,752,755,826,952,1366,1724,2083,2165,1909,1533,1060,576,261,73,7,
PIKE,136,291,234,130,123,141,154,159,220,255,292,288,329,261,201,95,45,14,,,421,1202,1093,783,835,870,1032,1207,1797,2358,2702,2523,2231,1439,969,468,208,42,,
ERIE,581,946,796,647,691,646,563,543,601,728,729,597,479,338,231,235,157,79,6,,2320,5937,7214,6928,7513,7989,7919,8176,10064,11350,13201,12570,9827,6338,4287,2526,1369,438,67,9
MCKEAN,81,217,133,126,106,116,131,173,211,260,347,283,210,150,116,66,43,14,,,154,539,593,530,579,695,754,871,1095,1268,1607,1601,1175,818,585,360,194,58,6,
CAMERON,8,15,16,16,9,16,18,9,13,12,15,13,16,12,,5,,,,,10,37,52,46,48,78,81,87,103,210,255,283,262,157,131,68,43,10,,
OUT-OF-STATE,3155,6021,7981,6262,6552,6465,6242,6138,7086,7694,8051,8481,7481,4833,3250,2020,1079,331,99,216,5108,13158,23832,19506,21573,22146,22633,22585,26813,29900,32458,31469,24998,16371,10949,6458,3307,867,116,150
NORTHUMBERLAND,149,225,168,126,155,149,156,174,179,209,243,168,166,108,93,69,56,11,,,435,1279,1606,1619,1927,2239,2237,2516,3083,3805,4378,4602,3958,2651,1905,1190,601,159,20,
MIFFLIN,44,76,66,43,60,55,69,61,78,94,75,94,80,59,45,32,25,6,,,139,468,577,559,657,735,835,910,1261,1546,1837,1993,1911,1413,1070,660,292,101,9,
ELK,45,87,71,62,61,53,54,44,77,94,120,78,74,37,44,44,27,22,8,,107,385,560,440,579,607,647,738,1141,1441,1693,1607,1432,887,741,456,220,67,7,
LEBANON,222,375,339,249,270,293,291,300,270,342,317,266,242,216,181,146,96,36,7,,1046,2592,2493,2346,2792,3160,3464,3660,4232,4953,5579,5942,5238,3537,2522,1648,871,278,53,
CLEARFIELD,75,194,107,99,110,119,116,133,183,210,202,175,153,116,94,48,38,12,,,251,836,1237,1227,1551,1631,1706,1978,2423,2937,3425,3550,3010,2095,1593,920,406,127,12,
HUNTINGDON,31,58,74,44,79,58,54,80,80,103,113,103,110,80,40,47,18,12,,,129,452,724,694,899,940,1052,1113,1315,1470,1702,1891,1701,1200,846,473,243,59,12,
MERCER,161,317,225,165,169,169,185,216,247,292,294,317,199,175,130,96,67,24,12,,442,1410,1798,1603,1881,2177,2183,2493,3338,4161,5172,5221,4534,3218,2283,1420,840,263,34,
FRANKLIN,202,358,290,227,248,227,228,271,258,309,299,272,228,176,163,124,66,43,5,,722,1904,1960,1763,2234,2569,2695,2973,3524,4080,4910,5544,5421,3989,2798,1776,885,249,34,
WARREN,62,107,106,80,103,117,106,105,138,204,181,241,205,157,99,76,43,17,,,147,487,488,484,553,688,660,727,1017,1364,1723,1753,1445,991,680,411,194,62,,
CUMBERLAND,603,1573,1152,1053,1178,1190,1107,1131,1239,1224,1291,994,990,879,615,382,218,60,9,,2471,5418,5995,6222,7517,8575,8490,8099,9135,10035,11416,11439,10384,6447,4359,2738,1481,468,61,9
YORK,938,1437,1126,936,970,1026,955,1003,1183,1122,1187,887,757,592,445,332,226,77,10,,3439,8888,8511,8235,9820,11157,11865,12644,15437,17930,19946,19732,17112,11451,7565,4700,2299,671,76,9
MONTOUR,49,46,35,36,42,47,27,41,34,52,49,39,26,23,13,15,15,,5,,238,482,406,638,894,788,689,633,733,921,1076,1106,883,636,471,348,169,49,8,
