County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
ADAMS,197,345,305,195,235,227,228,242,266,283,283,255,232,165,110,77,36,16,,,720,1827,1961,1479,1753,2004,2120,2382,3019,3808,4375,4755,4425,2948,1968,1160,537,144,22,
ALLEGHENY,3605,5162,5925,5629,5540,4902,4059,3776,4236,4583,4907,5197,4401,2598,2009,1382,949,307,52,23,14519,31058,40826,48833,54431,52120,46019,41363,47999,55045,64871,61447,48943,31203,22379,14309,8319,2462,304,77
ARMSTRONG,131,216,148,140,158,144,166,172,206,250,243,230,199,112,79,40,29,10,,,373,1017,1186,1015,1121,1404,1534,1745,2288,3032,3942,3853,3303,2042,1594,931,489,119,16,
BEAVER,411,516,427,428,480,522,574,561,566,643,723,511,361,193,149,104,73,26,,,1081,2743,2826,2958,3589,4091,4299,4166,5242,6640,7953,8030,6769,4458,3340,2037,1071,269,24,
BEDFORD,44,85,95,76,69,87,85,113,89,114,140,132,97,74,66,53,12,,,,95,317,444,392,451,535,631,732,1025,1296,1769,1897,1620,1239,929,556,245,55,6,
BERKS,1419,1986,1670,1508,1505,1454,1471,1497,1563,1651,1551,1588,1580,1003,749,624,421,136,34,6,4084,10132,10023,9206,10591,11944,12497,13328,16042,18620,19496,17635,14802,9828,6534,4208,2179,565,77,11
BLAIR,247,388,314,245,274,273,256,260,383,381,390,338,364,203,182,107,76,44,,,698,1936,2170,1970,2268,2579,2838,2917,3597,4272,5354,5605,4904,3169,2366,1364,791,244,34,
BRADFORD,80,144,119,102,98,81,105,93,113,143,153,150,115,105,84,45,28,8,,,278,719,726,689,783,779,860,988,1402,1754,2133,2198,1931,1550,1080,590,265,75,7,
BUCKS,2560,3688,2733,2221,2449,2491,2446,2386,2837,3154,3063,2911,2609,1625,1111,750,438,147,26,10,9052,18941,16948,14614,16528,19208,20187,20708,26103,30023,32265,28637,23267,16004,10609,6896,3623,1086,130,19
BUTLER,473,662,581,487,541,522,469,454,538,563,642,464,367,214,180,152,95,39,,,1959,4602,4679,4199,5025,6151,6216,6195,7746,8741,10152,9694,7893,5154,3656,2238,1241,352,50,
CAMBRIA,218,368,357,293,322,319,279,314,404,448,501,445,335,236,187,143,132,51,10,,695,2006,2240,2112,2296,2518,2877,3265,3996,4903,6543,7263,6121,4005,2702,1760,940,273,37,
CAMERON,11,11,8,14,12,17,17,11,18,16,21,21,15,11,5,5,,,,,16,50,63,51,48,81,84,88,106,214,257,278,266,161,131,70,43,11,,
CARBON,121,246,258,169,230,214,200,201,245,308,275,262,200,118,76,41,30,8,,,527,1270,1327,1182,1408,1539,1707,2056,2550,3022,3486,3442,2844,2049,1238,754,387,124,17,
CENTRE,292,635,1530,593,408,369,307,285,298,306,290,255,221,155,110,91,58,21,,,1676,4006,9297,5948,5504,5230,5043,4792,5445,5987,6326,6222,5269,3614,2521,1615,746,242,33,
CHESTER,3035,3975,2765,2534,2694,2690,2548,2321,2739,2728,2694,2511,2048,1295,954,660,398,155,31,,9140,19989,16224,15664,18277,20609,21532,21801,24867,26349,26409,23522,19149,13696,8968,5192,2842,818,110,8
CLARION,44,70,80,84,70,79,66,80,104,120,116,114,98,69,47,42,21,9,5,,156,380,613,505,561,581,690,694,989,1250,1651,1682,1380,1008,802,483,217,54,10,
CLEARFIELD,93,183,143,131,166,162,137,166,215,235,208,195,152,127,95,50,37,13,,,304,964,1295,1317,1605,1708,1770,2043,2492,3020,3501,3588,3048,2116,1617,930,419,127,14,
CLINTON,52,98,120,102,84,88,92,103,126,119,117,106,58,45,41,32,14,7,,,145,515,737,568,605,647,731,834,1068,1253,1560,1581,1332,894,661,422,215,70,8,
COLUMBIA,132,196,186,136,143,144,126,132,140,180,155,160,133,95,60,54,40,24,,,559,1292,1466,1386,1592,1749,1727,2010,2371,2807,3308,3355,2831,2012,1332,871,470,122,22,
CRAWFORD,155,248,215,205,211,174,199,169,181,241,200,207,153,112,88,46,36,10,8,,443,1348,1709,1249,1458,1626,1762,1891,2367,2891,3625,3704,3296,2381,1607,913,511,156,17,
CUMBERLAND,799,1688,1259,1195,1409,1343,1272,1234,1328,1335,1401,1006,998,897,621,400,217,62,10,,2796,5866,6361,6522,7815,8843,8784,8340,9419,10290,11648,11650,10538,6634,4465,2770,1523,483,62,9
DAUPHIN,846,1170,1149,1241,1141,1150,1043,1002,1138,1181,1067,930,804,511,341,274,142,53,16,,2958,6648,6539,7606,8264,8641,8679,8801,10595,11646,13229,12674,10407,6277,4161,2626,1278,365,49,7
DELAWARE,2209,3177,2882,2228,2571,2342,2300,2109,2317,2444,2435,2015,1568,1015,786,643,394,156,28,,9069,18081,15480,14847,17528,19735,19544,18859,21829,24819,26920,24663,19186,13256,8651,5868,3209,1035,144,8
ELK,57,88,68,72,63,70,61,58,93,102,135,86,70,39,49,43,27,22,8,,130,436,578,454,590,613,660,742,1160,1452,1701,1622,1445,891,740,473,223,66,8,
