County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
DAUPHIN,550,1009,1215,1353,1281,1221,1065,1001,1130,1092,1115,1179,949,649,396,298,164,57,16,,3847,7779,7558,8720,9356,9674,9648,9673,11540,12481,13962,13268,10886,6716,4350,2761,1375,394,54,6
BEAVER,252,408,433,452,517,565,592,576,560,656,800,707,599,344,242,162,107,30,,,1516,3361,3259,3436,4105,4653,4815,4597,5815,7145,8485,8410,7013,4702,3442,2127,1151,284,28,
CAMBRIA,155,272,365,334,358,341,312,338,421,414,495,505,423,300,209,165,120,52,12,,998,2528,2692,2492,2698,2846,3269,3607,4415,5269,6847,7552,6407,4210,2803,1824,1023,317,43,
SCHUYLKILL,200,338,394,354,391,383,367,334,417,436,474,507,445,242,174,166,124,68,7,,1389,3159,3246,3307,3868,4161,4509,4973,5888,6765,7558,7760,6521,4389,2841,1749,960,263,31,
BUCKS,1383,2752,2534,2178,2472,2503,2493,2402,2895,3453,3793,4394,4144,2707,1667,1027,601,183,33,9,11539,22234,19178,16743,18689,21360,22126,22340,28053,31902,34028,30196,24351,16962,11145,7256,3821,1176,139,19
NORTHAMPTON,448,1112,1493,1069,1116,1037,1005,889,1071,1177,1247,1281,1126,592,410,322,223,76,17,,4633,10237,10539,9430,10424,10854,11357,11834,14363,15799,16996,16099,13910,9790,6333,3964,2204,658,100,9
ELK,33,59,79,79,81,74,63,50,83,89,132,96,74,53,56,39,18,14,7,,207,560,652,550,648,686,739,800,1255,1532,1749,1688,1468,946,755,497,247,82,11,
OUT-OF-STATE,3225,7115,10118,7987,8337,8028,7543,7231,8188,8892,9510,10552,9661,6343,4168,2448,1294,397,114,213,6804,15123,26655,21519,23764,24203,24287,23972,28475,31421,34070,32600,25737,17104,11294,6776,3511,953,131,140
JEFFERSON,35,77,90,81,87,100,94,83,105,104,134,144,130,78,70,51,41,12,,,241,635,715,628,723,863,919,1026,1259,1583,2140,2234,1867,1344,1032,635,337,105,16,
UNION,51,101,143,70,89,79,77,72,79,73,86,78,62,62,46,46,32,11,,,427,1088,1349,740,860,1093,1061,1162,1430,1599,1806,1811,1691,1246,911,597,316,99,7,
