County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
FRANKLIN,218,365,404,357,343,336,363,356,386,375,338,275,255,209,159,125,72,44,5,,1176,2552,2346,2107,2646,2939,3068,3371,3933,4514,5275,5812,5678,4231,2940,1888,989,285,36,
INDIANA,111,188,258,197,193,190,197,188,180,240,276,251,187,112,112,75,56,19,6,,450,1202,1769,1328,1394,1625,1688,1731,2281,2761,3516,3744,3235,2124,1623,864,396,107,19,
ARMSTRONG,106,221,159,140,154,157,163,192,196,224,213,210,196,109,78,44,28,10,,,489,1206,1303,1103,1260,1485,1643,1862,2436,3175,4065,3978,3369,2130,1623,953,501,126,16,
CAMERON,11,10,12,15,16,22,23,12,20,14,17,9,17,9,,,,,,,24,60,66,56,55,90,86,96,112,220,261,294,269,164,133,72,44,11,,
CENTRE,179,699,1808,554,413,339,311,261,289,295,267,252,240,162,116,93,63,19,,,1875,4251,9848,6290,5762,5408,5226,4925,5624,6157,6435,6368,5378,3706,2577,1668,774,246,34,
ALLEGHENY,2779,4711,6282,5657,5555,4889,4036,3573,4001,4349,4821,5159,4538,2731,2057,1405,983,322,52,23,16783,33790,43272,51473,57171,54665,48138,43123,50006,56796,66527,62930,50036,32025,22976,14629,8574,2589,325,74
LACKAWANNA,533,871,776,769,811,739,708,610,713,748,717,628,590,398,337,238,162,80,17,,3318,6805,6884,6619,7624,8080,7954,7918,9774,10801,11882,11003,9542,6491,4457,2789,1489,486,59,6
VENANGO,69,136,119,97,132,123,117,115,142,154,195,174,140,104,72,47,32,7,,,303,792,782,656,815,991,1015,1176,1443,1866,2406,2456,1926,1261,847,488,257,76,12,
PHILADELPHIA,1453,2628,2731,3370,3645,3118,2683,2180,2417,2385,2415,1841,1524,889,684,442,227,97,17,5,4618,7684,7677,12201,13508,11486,9965,8867,9487,10003,9666,7746,6005,4272,2942,1878,1012,324,50,30
JEFFERSON,50,105,101,88,89,113,92,99,120,108,130,125,120,76,59,48,44,10,,,220,590,672,584,684,820,886,970,1208,1564,2113,2181,1855,1319,1016,630,334,99,16,
WAYNE,85,168,194,177,174,157,147,143,173,189,197,213,256,201,135,87,35,23,,,561,1172,1422,1056,1127,1239,1284,1443,1868,2356,2739,2741,2378,1586,1031,544,258,57,5,
CARBON,65,206,263,205,201,213,217,202,229,272,270,243,184,102,77,44,31,8,,,664,1471,1461,1296,1564,1673,1802,2156,2713,3160,3588,3556,2917,2118,1268,768,404,126,18,
NORTHUMBERLAND,128,205,252,248,279,225,240,206,223,264,234,159,160,109,85,59,53,10,,,696,1681,1897,1939,2273,2573,2545,2793,3368,4082,4717,4759,4111,2810,2007,1252,629,178,21,
POTTER,29,60,34,23,37,24,35,36,46,55,81,75,81,45,43,17,7,5,,,62,164,170,142,173,180,225,231,338,442,591,600,598,387,256,151,77,24,7,
COLUMBIA,80,174,200,192,183,185,134,124,181,196,149,156,118,90,68,56,37,25,,,690,1476,1593,1510,1744,1844,1842,2112,2497,2930,3410,3422,2912,2071,1351,896,475,125,27,
BEAVER,299,483,458,427,467,515,558,533,540,607,711,496,362,202,151,104,64,25,,,1387,3159,3099,3257,3905,4431,4577,4425,5576,6921,8220,8263,6894,4587,3405,2078,1126,280,26,
YORK,857,1439,1363,1370,1363,1304,1224,1148,1355,1244,1284,919,771,599,464,341,239,75,10,,4911,10984,9855,9355,11147,12438,13207,13808,16883,19203,21221,20550,17819,12051,7914,4930,2408,727,85,11
