County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
WESTMORELAND,467,917,1013,966,936,1018,947,874,1216,1267,1466,1593,1466,923,686,465,316,121,18,,3534,7935,8056,7530,8353,9296,9871,10238,13315,15867,19297,19231,16567,11022,7650,4872,2671,748,95,8
CARBON,57,178,256,180,183,206,197,181,219,246,267,248,199,120,72,52,32,8,,,679,1551,1508,1368,1627,1731,1869,2221,2765,3223,3630,3605,2940,2159,1290,777,404,136,18,
FAYETTE,157,335,354,368,345,356,400,364,452,481,461,530,527,288,222,141,94,28,8,,958,2278,2515,2534,2867,3081,3401,3702,4741,5472,6855,7184,6133,3981,2708,1611,884,270,30,
MONROE,302,543,683,588,553,484,517,468,600,694,629,637,478,259,152,109,78,20,,,2127,4992,5139,4164,4166,4425,4766,5441,7039,8711,9159,8170,6344,4154,2613,1475,678,170,18,
POTTER,19,57,38,33,41,27,30,30,42,49,81,79,94,57,44,16,9,5,,,72,177,173,145,182,189,232,253,350,467,599,618,603,401,269,152,80,23,7,
MIFFLIN,33,77,78,95,89,87,106,90,92,107,82,83,76,58,47,31,24,8,,,253,655,746,710,819,861,987,1054,1423,1754,1981,2128,2020,1504,1129,701,309,108,13,
ERIE,457,833,932,836,886,837,719,672,734,848,843,1076,980,605,384,283,178,67,6,5,3370,7327,8241,7862,8388,8907,8758,8852,10783,12054,13921,13235,10341,6701,4560,2695,1483,492,77,9
WAYNE,72,146,179,195,175,159,148,149,181,190,206,244,275,230,146,85,42,23,,,582,1214,1450,1105,1160,1269,1308,1481,1894,2368,2775,2776,2398,1625,1047,558,265,57,5,
BEDFORD,21,70,97,83,81,79,85,99,88,109,138,118,92,74,60,56,15,,,,160,418,552,468,531,623,720,840,1116,1382,1879,1945,1695,1294,959,572,264,57,6,
MERCER,142,296,278,262,240,251,247,260,305,324,390,458,351,294,186,131,88,27,14,,762,1927,2169,1933,2208,2459,2491,2771,3664,4487,5452,5459,4727,3386,2411,1468,881,286,39,
INDIANA,77,149,247,185,184,190,188,182,168,237,263,273,215,128,125,78,49,18,6,,494,1261,1840,1406,1462,1689,1735,1795,2342,2801,3591,3767,3282,2176,1645,889,415,117,19,
PERRY,48,108,132,118,145,125,122,134,171,195,188,186,252,155,111,60,35,9,,,327,686,747,683,846,953,1064,1173,1484,1838,2186,2300,1884,1238,768,446,184,36,,
FOREST,,13,7,17,11,17,8,14,25,19,30,31,26,31,14,12,,,,,17,56,153,359,503,474,416,328,381,431,397,426,322,223,165,86,28,5,,
JUNIATA,13,50,32,22,39,40,40,38,43,35,43,42,36,28,26,15,11,7,,,106,330,361,266,329,353,437,471,654,772,931,1026,911,652,535,337,147,61,5,
CLINTON,26,62,113,98,91,84,76,89,102,96,109,117,86,63,53,34,15,7,,,198,601,840,683,681,735,824,919,1191,1337,1646,1639,1378,933,711,439,231,70,11,
MONTGOMERY,2204,3831,3849,3807,4262,4540,4223,3973,4388,4679,4949,5678,4884,3556,2401,1644,972,336,56,17,18176,32313,24343,25482,30145,33275,32708,30835,35420,38085,39640,35972,28867,20611,14130,9463,5640,1828,259,45
JEFFERSON,40,71,95,82,97,103,95,88,107,110,137,141,124,83,70,53,39,12,,,237,633,702,620,711,856,909,1016,1247,1574,2128,2224,1865,1335,1021,636,337,104,16,
ELK,31,60,86,88,88,82,67,58,85,90,139,88,73,48,52,37,20,14,7,,204,558,641,534,637,672,730,791,1248,1529,1742,1677,1465,948,745,495,245,81,11,
LYCOMING,119,256,338,313,339,278,269,270,310,337,356,323,286,211,136,128,103,32,6,,814,2047,2343,2287,2721,2983,2918,2952,3759,4460,5500,5610,4823,3235,2178,1461,736,233,37,
HUNTINGDON,27,58,134,108,110,107,110,88,120,114,110,118,120,91,49,43,21,10,,,205,602,914,883,1159,1133,1260,1296,1491,1612,1875,2004,1792,1278,887,509,247,70,13,
WARREN,42,107,117,121,126,131,118,108,152,209,195,260,233,180,103,84,50,16,,,285,658,598,561,666,793,761,808,1123,1480,1831,1869,1509,1056,732,420,211,70,,
CENTRE,173,639,1723,573,423,345,306,275,298,300,292,335,311,225,141,111,71,21,5,,1896,4350,10178,6443,5876,5503,5318,4985,5729,6222,6518,6438,5437,3758,2613,1701,790,250,34,
UNION,51,103,141,72,84,87,82,64,79,75,84,68,65,60,42,41,29,11,,,423,1077,1337,729,853,1085,1048,1158,1428,1593,1784,1804,1683,1238,908,594,316,99,7,
TIOGA,42,101,73,76,82,81,83,78,97,90,137,141,156,109,95,65,28,5,,,299,685,618,527,599,636,753,792,1030,1283,1706,1826,1623,1196,948,476,180,49,11,
BERKS,942,1597,1743,1618,1668,1495,1430,1428,1449,1550,1417,1557,1513,1075,743,615,419,146,35,5,5573,11961,11492,10696,12074,13229,13884,14454,17423,19749,20566,18497,15506,10422,6856,4447,2314,616,85,13
CAMBRIA,161,290,370,327,333,335,307,331,407,420,494,481,393,281,196,154,116,48,12,,986,2483,2646,2466,2668,2826,3232,3574,4396,5226,6819,7525,6391,4185,2791,1817,1016,314,43,
LACKAWANNA,452,794,777,755,807,741,689,609,742,724,727,708,650,475,369,260,185,85,20,,3468,7040,7063,6835,7850,8310,8118,8063,9892,10973,11979,11116,9614,6618,4516,2832,1495,503,61,6
ALLEGHENY,2524,4511,6158,5999,6029,5241,4342,3765,4195,4611,5288,6203,5752,3729,2665,1742,1176,391,63,24,17366,34669,44330,52516,58348,55679,49142,43814,50707,57450,67250,63658,50615,32619,23233,14841,8719,2644,340,66
ADAMS,127,247,304,264,267,227,211,226,260,268,266,261,248,181,128,78,34,16,,,920,2169,2251,1758,2037,2263,2390,2590,3312,4107,4597,4962,4585,3117,2092,1215,582,151,27,
YORK,746,1298,1435,1377,1371,1371,1281,1163,1345,1255,1292,1139,992,738,544,366,249,80,11,,5176,11471,10267,9872,11630,12899,13665,14217,17333,19677,21579,20815,18045,12251,8043,5002,2462,749,88,11
ARMSTRONG,90,181,159,156,172,165,191,208,212,222,233,235,203,133,98,44,32,10,,,523,1292,1365,1153,1312,1552,1696,1920,2503,3222,4125,4024,3402,2176,1629,977,508,128,16,
LEHIGH,777,1437,1809,1688,1721,1580,1452,1282,1296,1336,1294,1187,937,538,346,324,257,91,14,,6430,13194,12686,13136,14851,15628,16174,16010,17842,19927,21045,19003,15805,10871,7323,4805,2621,807,117,5
MONTOUR,24,44,49,54,55,47,39,42,36,55,57,39,41,21,20,21,18,,5,,322,582,503,712,999,873,761,699,803,1007,1140,1137,932,672,487,366,184,50,8,
DAUPHIN,587,1034,1228,1318,1256,1199,1061,1010,1115,1079,1108,1128,910,616,378,287,162,57,17,,3788,7692,7448,8623,9243,9583,9535,9580,11456,12409,13878,13211,10833,6668,4333,2749,1362,387,53,6
LANCASTER,819,1333,1748,1593,1639,1451,1259,1238,1345,1433,1427,1400,1196,877,749,624,426,185,40,,6306,14363,15646,14946,16845,17116,16973,16879,19445,22735,25162,24407,21357,15484,11199,7488,4208,1367,219,10
WASHINGTON,424,645,709,674,741,756,725,719,763,841,952,1161,959,612,410,262,156,50,15,,2457,5298,5155,4629,5568,6663,7085,7063,8625,10192,11802,11501,9815,6376,4378,2696,1464,441,46,
LAWRENCE,96,199,250,220,227,257,247,264,299,290,307,382,349,251,183,137,75,18,6,,648,1651,1658,1499,1708,1982,2191,2202,3008,3426,4343,4267,3580,2317,1736,1093,565,171,31,
CLEARFIELD,62,124,154,140,134,169,141,148,205,198,220,228,184,141,108,56,54,18,,,430,1161,1453,1446,1821,1834,1940,2216,2681,3214,3652,3692,3151,2215,1677,976,435,133,18,
BRADFORD,42,100,138,111,121,81,101,94,102,139,160,161,162,123,92,47,33,9,,,400,899,854,860,899,913,982,1103,1542,1885,2298,2312,1992,1613,1125,615,272,81,9,
NORTHUMBERLAND,89,168,216,193,226,175,177,179,187,221,195,154,179,105,82,62,55,10,,,761,1755,2016,2072,2406,2707,2674,2894,3459,4194,4808,4831,4155,2866,2034,1269,636,182,23,
PIKE,124,309,260,207,190,194,210,203,264,274,327,334,377,308,217,111,46,19,,,599,1488,1265,958,970,1001,1206,1334,1987,2581,2897,2701,2351,1589,1021,507,229,50,6,
LUZERNE,534,1037,1175,1128,1116,1024,981,946,1050,1043,966,969,837,609,409,301,212,72,15,,4169,9119,9128,8703,10036,10606,11112,11640,14081,15841,16681,15824,13736,9191,6145,3704,2123,614,79,7
